,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
22665,22665,15663987,Chigozie,584,Germany,Male,71.0,4,122568.05,1,1.0,1.0,109159.58,0
154775,154775,15746012,Chibugo,733,Spain,Male,40.0,10,0.0,2,1.0,1.0,31165.06,0
98127,98127,15698732,Baker,520,Germany,Female,30.0,3,141786.78,1,1.0,1.0,898.51,0
25669,25669,15605020,Schofield,659,France,Male,30.0,9,0.0,2,1.0,1.0,23054.51,0
152412,152412,15631848,Grover,731,France,Female,32.0,9,121508.28,1,1.0,1.0,146785.44,0
5197,5197,15623644,Houghton,790,France,Female,45.0,1,0.0,1,1.0,0.0,47844.39,1
76746,76746,15681068,Chinagorom,796,France,Female,38.0,2,109730.22,1,1.0,1.0,123882.73,0
132240,132240,15662067,Tu,678,France,Female,40.0,5,0.0,2,0.0,0.0,181490.42,0
110742,110742,15572390,Onyekachi,613,France,Male,40.0,5,0.0,2,1.0,0.0,143960.72,0
84389,84389,15568162,Sung,527,Germany,Male,53.0,8,129177.01,2,1.0,1.0,51711.57,0
144722,144722,15654891,Palermo,776,Spain,Male,39.0,4,0.0,2,1.0,0.0,84644.76,1
10736,10736,15597536,Nkemdilim,614,Germany,Male,45.0,3,133658.24,1,0.0,0.0,135244.87,0
142313,142313,15770406,Chibuzo,576,Germany,Female,34.0,1,61710.44,1,1.0,0.0,91406.62,0
84381,84381,15702627,Mazzanti,682,Spain,Male,38.0,4,0.0,1,0.0,1.0,62402.85,0
34085,34085,15789611,T'ien,809,Spain,Male,38.0,9,0.0,2,0.0,1.0,170409.45,0
115827,115827,15745605,Lucciano,769,France,Female,47.0,2,0.0,1,1.0,0.0,90967.37,1
102637,102637,15719017,Yobachi,727,France,Male,37.0,6,131101.04,1,1.0,1.0,179908.71,0
130769,130769,15615477,Kerr,709,France,Female,42.0,1,0.0,1,1.0,0.0,109153.11,1
130024,130024,15672054,Ts'ui,759,France,Female,21.0,6,132578.92,1,1.0,0.0,94762.16,0
11210,11210,15682533,Nwankwo,604,France,Female,42.0,4,0.0,2,1.0,0.0,167035.07,0
50637,50637,15696733,McKenzie,611,France,Female,46.0,8,0.0,2,0.0,0.0,78955.8,0
68234,68234,15624993,Nwachukwu,531,France,Male,33.0,8,0.0,2,0.0,0.0,158553.1,0
121509,121509,15767894,Larionova,686,Germany,Female,32.0,9,140745.33,1,1.0,0.0,193437.89,1
55297,55297,15572374,T'ien,637,France,Female,38.0,1,140133.08,1,0.0,1.0,158742.81,0
58138,58138,15663917,Chukwukere,742,Germany,Female,49.0,3,127974.05,2,1.0,0.0,176640.29,1
19429,19429,15705918,Mazzi,561,France,Male,26.0,1,0.0,1,1.0,1.0,173792.49,0
145001,145001,15812706,Beluchi,585,Germany,Male,37.0,9,161434.36,2,1.0,1.0,135171.6,0
75537,75537,15705544,Ma,673,France,Male,30.0,5,135536.5,1,0.0,1.0,56794.73,0
18557,18557,15647782,Brown,762,Germany,Female,33.0,9,152899.24,2,0.0,1.0,177130.33,0
10077,10077,15814035,Milano,726,France,Female,29.0,3,0.0,1,0.0,1.0,20778.39,0
33814,33814,15662291,Nwachinemelu,627,France,Female,37.0,9,136678.51,1,0.0,0.0,121210.89,0
154406,154406,15750921,Monds,521,France,Male,37.0,5,105843.26,2,1.0,0.0,84908.2,1
35393,35393,15753874,Lucchese,754,France,Female,40.0,1,0.0,2,1.0,1.0,180620.07,0
97945,97945,15675450,Shillito,637,France,Male,40.0,6,123783.0,1,1.0,1.0,130789.8,0
136164,136164,15694566,Lu,538,France,Male,37.0,7,0.0,2,1.0,0.0,149614.17,0
1810,1810,15668521,Jamieson,676,France,Male,37.0,1,0.0,2,1.0,0.0,82867.55,0
128020,128020,15694144,Ibezimako,648,Spain,Female,46.0,8,0.0,3,1.0,0.0,159777.29,1
99276,99276,15697510,Tien,707,France,Male,46.0,3,0.0,1,1.0,1.0,109688.82,0
159227,159227,15746569,Chibugo,684,France,Male,33.0,8,114512.59,1,0.0,0.0,76621.49,0
83766,83766,15655794,Mazzanti,702,Spain,Male,28.0,2,0.0,2,1.0,0.0,189414.74,0
47744,47744,15772148,Ch'en,495,Spain,Male,37.0,7,151218.98,1,0.0,0.0,16957.45,0
96373,96373,15800811,Wan,702,France,Male,40.0,3,148556.74,2,1.0,0.0,146056.29,0
4633,4633,15784099,Lu,583,France,Female,42.0,6,0.0,2,0.0,0.0,155853.52,0
17469,17469,15814267,Chin,645,France,Male,41.0,10,95161.67,1,1.0,0.0,136610.49,0
12390,12390,15680141,Onwubiko,652,Germany,Male,25.0,8,118024.05,2,0.0,0.0,121311.12,0
67016,67016,15658969,Boulger,627,France,Female,41.0,9,0.0,2,1.0,1.0,57531.01,0
137058,137058,15758081,Lucciano,695,France,Male,37.0,6,0.0,2,1.0,0.0,103901.57,0
138962,138962,15617052,Chidi,489,Germany,Male,38.0,7,129392.18,1,1.0,0.0,93783.0,0
121859,121859,15808884,Aitken,596,Germany,Male,41.0,4,135756.36,1,0.0,1.0,171344.31,0
150518,150518,15726178,Onyemere,738,France,Female,34.0,8,0.0,2,1.0,1.0,74898.6,0
86968,86968,15709232,McKay,809,Spain,Female,47.0,5,157099.47,1,1.0,0.0,65481.86,0
17638,17638,15787051,Ch'ien,689,France,Male,33.0,3,133845.26,1,1.0,1.0,89081.41,0
20697,20697,15713596,Ugochukwu,594,France,Male,40.0,4,103544.88,2,0.0,1.0,193746.55,0
127600,127600,15802220,Shih,562,Germany,Female,48.0,1,133377.8,1,0.0,1.0,93336.3,1
76145,76145,15773852,Grant,650,France,Female,38.0,9,0.0,2,1.0,0.0,136259.65,0
137323,137323,15764343,Tien,830,France,Female,40.0,9,0.0,1,1.0,1.0,54954.51,1
100509,100509,15751131,Chia,619,Germany,Male,37.0,4,121063.73,2,1.0,0.0,168815.84,0
53124,53124,15806933,Teng,651,France,Male,31.0,8,0.0,2,0.0,0.0,130664.57,0
98263,98263,15672905,McVey,634,Spain,Female,26.0,8,0.0,2,1.0,0.0,52887.06,0
89226,89226,15802342,Y?,601,France,Male,31.0,3,0.0,2,1.0,1.0,173882.79,0
120063,120063,15783338,Lettiere,727,France,Female,30.0,3,0.0,2,1.0,0.0,104889.3,0
76017,76017,15806420,Walker,724,Germany,Male,33.0,9,117070.63,1,1.0,1.0,140941.56,0
22081,22081,15731815,Ulyanova,674,France,Female,34.0,1,0.0,1,1.0,0.0,147074.67,0
85314,85314,15707968,Liao,644,France,Female,22.0,6,0.0,2,1.0,1.0,82822.82,0
157037,157037,15693326,Whitehouse,452,France,Female,44.0,6,129837.72,2,0.0,0.0,164241.67,0
62077,62077,15660429,Ch'in,753,France,Female,32.0,2,156371.61,2,1.0,1.0,156774.94,0
45137,45137,15719017,Donaldson,672,France,Female,34.0,5,111179.83,1,1.0,0.0,191070.01,0
6498,6498,15762268,Udokamma,634,France,Male,34.0,5,0.0,2,1.0,0.0,86767.48,0
20139,20139,15747458,Murphy,756,France,Male,39.0,3,132623.6,1,0.0,1.0,63889.1,1
49877,49877,15678058,Dickson,729,Spain,Female,21.0,10,0.0,2,1.0,1.0,152417.97,0
8214,8214,15603170,Kang,654,France,Male,32.0,9,121455.65,1,1.0,0.0,190068.53,0
119593,119593,15775663,McKay,568,France,Female,33.0,2,130334.84,2,1.0,0.0,4700.66,0
49510,49510,15786063,Tien,698,France,Female,33.0,5,0.0,2,1.0,1.0,96498.14,0
140152,140152,15809901,Johnstone,773,France,Male,36.0,10,0.0,1,1.0,1.0,75848.22,1
111190,111190,15763629,Macleod,607,France,Male,32.0,5,0.0,1,1.0,1.0,180800.91,1
58446,58446,15747647,Iadanza,785,Spain,Female,35.0,3,103108.8,1,0.0,0.0,166475.44,1
93240,93240,15642394,Lucciano,605,France,Female,48.0,3,0.0,1,0.0,0.0,125877.22,1
67282,67282,15790282,Hsu,516,Germany,Male,31.0,9,131698.57,1,1.0,1.0,42831.11,0
4575,4575,15734634,Onio,686,France,Female,43.0,2,0.0,2,1.0,0.0,198969.78,0
63442,63442,15806426,Iloerika,714,France,Male,40.0,5,0.0,2,1.0,0.0,113483.96,0
1283,1283,15705001,Napolitani,587,Spain,Female,35.0,3,83286.56,2,1.0,0.0,125553.52,1
72569,72569,15750929,Ch'iu,554,France,Male,32.0,8,0.0,2,1.0,1.0,1713.1,0
120184,120184,15641358,Tuan,687,Spain,Female,50.0,0,0.0,1,0.0,0.0,26900.29,1
124086,124086,15785831,Shubin,683,France,Male,42.0,10,0.0,2,1.0,0.0,86937.2,0
13027,13027,15659800,Hovell,675,France,Female,38.0,8,0.0,2,1.0,1.0,182055.36,0
41960,41960,15662884,Martin,730,Germany,Female,34.0,7,99824.54,2,1.0,0.0,175722.31,0
127910,127910,15566378,Ch'ien,727,Germany,Male,32.0,1,105229.88,1,0.0,1.0,115724.69,0
110589,110589,15693817,T'ang,679,France,Female,41.0,5,118520.93,1,1.0,0.0,26136.13,0
123681,123681,15598883,Sanders,565,Germany,Female,38.0,2,148571.07,1,0.0,0.0,125062.02,1
48101,48101,15783026,H?,757,France,Male,42.0,9,0.0,1,1.0,1.0,12761.16,1
99577,99577,15682841,Nweke,537,France,Male,47.0,5,0.0,2,1.0,1.0,134420.75,0
5229,5229,15644962,Ting,725,France,Male,21.0,9,0.0,2,1.0,1.0,162501.83,0
96380,96380,15630106,Shao,689,Germany,Male,43.0,4,145387.32,1,1.0,1.0,77142.85,0
126821,126821,15738148,Barry,662,Germany,Male,41.0,6,102749.72,2,0.0,0.0,194913.86,0
34996,34996,15773804,Dickson,605,France,Male,32.0,7,0.0,2,1.0,1.0,132418.59,0
35563,35563,15763798,T'ao,671,France,Female,38.0,2,0.0,2,1.0,0.0,92916.43,0
1946,1946,15686974,Chukwukadibia,621,Germany,Female,32.0,1,125920.72,2,1.0,1.0,109291.22,0
126908,126908,15639590,Ikedinachukwu,781,France,Female,47.0,8,0.0,1,1.0,1.0,168034.9,0
76484,76484,15780389,Shih,769,France,Female,43.0,7,0.0,2,1.0,1.0,131662.47,0
27555,27555,15704168,Ting,537,France,Male,38.0,5,98108.79,1,0.0,1.0,87771.06,0
110881,110881,15638871,Ch'ang,641,France,Male,77.0,6,80926.02,1,1.0,1.0,55859.27,0
60612,60612,15802483,Hayes,705,France,Male,34.0,9,0.0,2,1.0,1.0,125979.36,0
45502,45502,15644846,Trevisani,629,France,Female,47.0,3,0.0,1,1.0,0.0,93716.56,1
55622,55622,15644296,P'eng,785,Spain,Male,40.0,0,115465.98,1,0.0,0.0,173498.45,0
42582,42582,15587581,Nebechukwu,626,France,Female,32.0,6,0.0,2,1.0,0.0,66333.56,0
156779,156779,15798885,Hsiung,705,Germany,Male,35.0,2,136492.92,1,1.0,0.0,173486.39,1
158634,158634,15674583,Kao,705,France,Female,43.0,10,0.0,1,1.0,0.0,153080.4,1
50789,50789,15761241,Hsieh,633,Germany,Male,36.0,8,129745.1,1,1.0,1.0,143683.75,1
98168,98168,15592761,Tung,710,Spain,Male,39.0,5,0.0,2,0.0,0.0,162878.96,0
23068,23068,15599081,Trevisani,578,Germany,Female,42.0,8,149332.48,1,0.0,1.0,100834.22,1
161697,161697,15602282,O'Sullivan,718,Spain,Female,34.0,7,0.0,2,1.0,1.0,120834.6,0
60505,60505,15682021,Udegbunam,678,France,Male,31.0,4,0.0,1,1.0,1.0,87941.85,0
16430,16430,15705403,Ch'ang,617,Spain,Female,46.0,9,106521.49,2,0.0,1.0,86587.37,0
130599,130599,15717962,Fenton,637,France,Male,21.0,9,0.0,2,1.0,0.0,123954.11,0
69044,69044,15723013,Chukwubuikem,521,Spain,Female,42.0,3,0.0,2,1.0,1.0,184841.6,0
80529,80529,15690925,Tuan,531,Spain,Female,41.0,5,108914.81,1,0.0,0.0,25342.33,0
39561,39561,15786078,L?,663,Spain,Male,32.0,6,106070.28,1,0.0,0.0,119747.08,0
3573,3573,15575002,Yefremova,567,France,Female,22.0,7,0.0,1,1.0,1.0,130910.78,0
126818,126818,15686670,Chukwuebuka,634,France,Female,46.0,2,0.0,1,1.0,1.0,27239.69,1
64743,64743,15630269,Hsu,792,France,Female,41.0,1,0.0,2,0.0,0.0,57600.53,0
114370,114370,15605827,Chiekwugo,619,France,Female,31.0,9,108185.78,1,1.0,0.0,135067.57,0
29183,29183,15617603,T'ang,615,France,Male,41.0,5,0.0,2,1.0,0.0,162734.31,0
160070,160070,15651868,Palerma,679,France,Male,34.0,6,0.0,1,0.0,0.0,22736.06,0
40117,40117,15665784,Gordon,688,Germany,Male,42.0,9,149525.34,1,0.0,0.0,90537.47,1
94448,94448,15600882,Zetticci,677,Spain,Male,29.0,8,0.0,2,1.0,0.0,80721.4,0
9064,9064,15770258,Chien,744,Germany,Male,49.0,7,117199.68,2,1.0,0.0,101433.76,1
83272,83272,15586425,Ukaegbunam,586,Spain,Female,44.0,2,63972.29,1,0.0,1.0,173953.43,1
32491,32491,15789974,Ting,653,France,Female,57.0,8,126817.65,2,0.0,0.0,114083.73,1
38836,38836,15592461,Jackson,603,Germany,Male,26.0,4,109166.37,1,1.0,0.0,92840.67,0
99809,99809,15641480,Mazzanti,640,Spain,Female,36.0,10,117864.85,1,1.0,1.0,112104.55,0
81959,81959,15585580,Onwuamaeze,647,France,Male,37.0,9,0.0,2,1.0,0.0,167749.6,0
126816,126816,15664734,T'ao,637,Germany,Male,25.0,1,135645.29,2,1.0,0.0,101382.86,0
128182,128182,15709354,Nwabugwu,633,France,Male,37.0,9,116692.52,1,1.0,1.0,172450.53,0
146109,146109,15727021,Obialo,633,Germany,Female,30.0,1,119027.28,2,1.0,1.0,137903.54,1
78357,78357,15751455,Palerma,646,Spain,Male,40.0,10,0.0,2,0.0,1.0,92797.22,0
15713,15713,15657321,Lucchese,567,Spain,Male,30.0,5,0.0,2,0.0,1.0,132973.65,0
128143,128143,15589211,Hsueh,775,Spain,Female,34.0,6,102980.44,1,1.0,0.0,148579.43,0
20944,20944,15737998,P'eng,663,France,Male,29.0,7,0.0,2,1.0,0.0,67623.41,0
98260,98260,15801277,Shih,703,Germany,Male,32.0,5,123210.41,2,1.0,1.0,131647.31,0
104119,104119,15646594,Eluemuno,593,France,Male,55.0,8,0.0,1,1.0,1.0,118546.79,1
33958,33958,15642824,Ejimofor,632,Spain,Female,43.0,6,0.0,2,1.0,1.0,162812.5,0
76289,76289,15580149,Lo,539,France,Female,29.0,3,155973.26,1,1.0,0.0,66721.88,0
76095,76095,15757829,Cattaneo,702,France,Male,30.0,8,56738.47,2,1.0,1.0,100442.22,1
152164,152164,15635893,Scott,542,Spain,Female,66.0,3,0.0,2,0.0,1.0,74965.45,0
78581,78581,15661036,Ifeatu,683,Germany,Female,49.0,5,116251.24,2,1.0,0.0,140763.18,1
151765,151765,15641359,Hsu,757,France,Male,44.0,7,0.0,1,1.0,1.0,67740.17,0
29090,29090,15604576,Onyemauchechukwu,604,France,Male,57.0,1,0.0,2,1.0,0.0,130529.13,0
134909,134909,15615140,Toscani,646,France,Male,37.0,5,0.0,2,1.0,1.0,131642.13,0
123983,123983,15765345,Chiazagomekpele,632,France,Female,30.0,9,90544.0,1,1.0,1.0,35179.31,0
42992,42992,15783897,Nnachetam,673,France,Female,37.0,8,0.0,1,0.0,0.0,158843.09,0
51132,51132,15576517,Walker,721,France,Male,28.0,3,0.0,1,0.0,1.0,151668.23,0
13956,13956,15572390,Pisano,667,France,Male,38.0,1,0.0,2,1.0,1.0,64872.33,0
150147,150147,15604792,Manna,751,France,Male,34.0,3,137390.11,2,1.0,0.0,47911.03,0
73957,73957,15613786,Cremonesi,733,France,Male,31.0,7,0.0,2,1.0,1.0,162599.51,0
120802,120802,15693704,Tsou,679,France,Male,39.0,4,0.0,1,1.0,1.0,172939.3,0
63210,63210,15674720,Ponomarev,479,Germany,Female,30.0,8,107467.56,2,1.0,1.0,186489.95,0
1658,1658,15714391,Lai,563,France,Female,35.0,2,0.0,1,1.0,1.0,66006.75,0
150909,150909,15612087,Hsiung,572,France,Female,37.0,7,0.0,2,1.0,1.0,131521.72,0
15132,15132,15796721,Nnamutaezinwa,778,France,Male,33.0,3,145018.49,1,1.0,0.0,126702.41,0
107977,107977,15643696,Mancini,711,France,Male,38.0,2,0.0,2,1.0,1.0,141364.31,0
1499,1499,15753861,Pankhurst,649,Germany,Female,58.0,6,138333.04,1,1.0,0.0,172450.19,1
59165,59165,15652883,Kao,593,Germany,Female,63.0,4,125739.26,1,1.0,1.0,51383.7,1
32580,32580,15763579,Onyeorulu,850,France,Male,39.0,9,0.0,2,0.0,1.0,112104.55,0
50294,50294,15753213,Lees,604,France,Female,30.0,4,0.0,2,1.0,0.0,193021.49,0
41702,41702,15634281,L?,711,Germany,Female,28.0,3,123081.42,2,1.0,1.0,103042.2,0
149759,149759,15641170,Montgomery,615,Spain,Male,42.0,4,0.0,3,1.0,1.0,120321.09,0
73596,73596,15663943,Mazzanti,665,France,Male,34.0,8,0.0,2,1.0,0.0,143881.68,0
98471,98471,15763662,Ch'ang,714,France,Male,29.0,2,0.0,2,1.0,0.0,199527.34,0
40402,40402,15785782,Palerma,622,France,Female,44.0,2,0.0,2,0.0,0.0,156868.21,0
145041,145041,15793343,Yeh,579,France,Male,27.0,3,0.0,2,0.0,1.0,159800.16,0
11976,11976,15750874,Tien,486,France,Female,26.0,8,0.0,1,1.0,1.0,132467.99,1
87487,87487,15778861,Hsieh,736,Germany,Female,42.0,7,134542.0,2,1.0,0.0,142450.61,1
139498,139498,15615177,Lai,674,Spain,Male,31.0,4,0.0,1,1.0,0.0,173425.68,0
110590,110590,15576044,Ozerova,646,Germany,Female,33.0,4,124977.72,1,1.0,0.0,152797.14,1
24311,24311,15792367,Hsu,679,Germany,Female,50.0,4,98205.77,2,1.0,0.0,109794.33,0
109555,109555,15684865,Lucchesi,771,France,Male,32.0,3,0.0,2,1.0,1.0,130827.88,0
123757,123757,15756537,H?,634,France,Female,21.0,5,0.0,2,1.0,1.0,59595.66,0
95758,95758,15749583,Hsieh,562,France,Male,38.0,1,0.0,2,1.0,0.0,92914.64,0
32422,32422,15645271,Ozioma,634,France,Female,31.0,5,0.0,2,1.0,0.0,113089.43,0
121045,121045,15607988,Ugochukwu,809,France,Female,42.0,5,0.0,2,1.0,0.0,44351.77,0
159114,159114,15600692,West,850,France,Male,42.0,9,0.0,2,1.0,1.0,163185.76,0
118987,118987,15772409,Chidumaga,673,France,Male,35.0,9,0.0,2,1.0,1.0,6078.46,0
90772,90772,15604882,Ts'ui,660,Spain,Male,25.0,6,0.0,2,1.0,0.0,117048.82,0
59467,59467,15688264,Nkemdilim,743,France,Female,30.0,6,0.0,2,1.0,0.0,41263.69,0
101661,101661,15707918,Bentley,748,Germany,Female,36.0,0,127675.39,2,1.0,1.0,74260.16,0
88217,88217,15798824,Hsueh,644,France,Female,45.0,1,0.0,2,0.0,1.0,177624.01,0
100678,100678,15597983,Y?an,678,France,Male,42.0,5,0.0,2,1.0,0.0,140723.05,0
60569,60569,15806926,Henderson,740,France,Male,20.0,3,96134.11,2,1.0,1.0,108301.45,0
18742,18742,15697510,Tien,649,Spain,Female,50.0,8,0.0,1,1.0,1.0,109688.82,0
140924,140924,15659100,Lane,619,France,Male,33.0,9,128152.82,1,0.0,0.0,147822.81,0
160008,160008,15768474,Hsia,684,France,Female,34.0,7,0.0,2,1.0,1.0,141533.19,0
88489,88489,15624695,Calabresi,606,Germany,Female,39.0,1,97764.41,1,0.0,0.0,179843.38,1
22702,22702,15764314,Mazzi,550,France,Female,55.0,7,132411.71,1,1.0,1.0,123875.02,1
154310,154310,15617419,Young,850,Germany,Female,32.0,6,129828.58,1,0.0,1.0,109291.22,0
133928,133928,15603764,Ch'iu,592,France,Male,60.0,7,0.0,2,0.0,1.0,107419.12,0
5264,5264,15690546,Riley,618,France,Female,33.0,4,0.0,4,0.0,0.0,111097.39,0
45832,45832,15766064,Ch'iu,684,Germany,Female,36.0,8,111233.0,2,0.0,0.0,125870.75,0
87380,87380,15719931,Johnstone,580,France,Male,36.0,8,0.0,1,0.0,1.0,178667.7,0
150370,150370,15593694,Hao,596,Spain,Male,30.0,3,116244.11,1,1.0,1.0,140134.43,0
132016,132016,15589435,Shaver,638,Germany,Female,37.0,1,114035.39,2,0.0,0.0,124625.09,0
37539,37539,15660422,Lambert,726,France,Male,43.0,8,120481.69,1,0.0,0.0,94875.03,0
65793,65793,15627854,Mai,707,France,Male,26.0,3,0.0,2,1.0,0.0,135077.01,1
68073,68073,15628583,Iweobiegbunam,709,France,Female,30.0,5,0.0,2,1.0,0.0,161388.22,0
74621,74621,15810732,Hs?eh,694,France,Male,34.0,1,0.0,2,1.0,1.0,61636.22,0
44756,44756,15614420,Gerasimova,711,France,Female,53.0,0,0.0,1,1.0,1.0,172049.84,1
945,945,15798429,Hernandez,741,France,Male,38.0,9,0.0,2,1.0,1.0,115994.52,0
97996,97996,15677785,Eluemuno,714,Germany,Female,62.0,5,129855.32,1,1.0,1.0,187925.75,1
75285,75285,15737735,Grant,683,Spain,Male,40.0,8,95053.1,1,1.0,1.0,116816.54,0
63045,63045,15758031,Hs?,557,France,Male,35.0,2,0.0,2,0.0,0.0,83022.92,0
136845,136845,15756535,Iqbal,711,France,Male,38.0,7,0.0,2,1.0,0.0,136610.99,0
1371,1371,15603883,H?,675,France,Male,43.0,6,0.0,2,1.0,1.0,72849.29,0
80858,80858,15633059,Chukwueloka,695,France,Female,48.0,3,170113.0,1,1.0,0.0,168523.72,1
123393,123393,15721582,Maclean,518,Spain,Female,39.0,10,118889.66,1,1.0,1.0,26012.2,0
97029,97029,15712483,Hsueh,648,France,Male,44.0,4,0.0,1,1.0,0.0,139919.38,1
835,835,15812497,Chukwufumnanya,794,France,Male,34.0,8,0.0,1,0.0,1.0,79005.95,0
31447,31447,15804771,Nnonso,529,France,Female,40.0,9,0.0,2,0.0,1.0,137916.49,0
894,894,15742408,Hs?,679,France,Female,37.0,1,0.0,2,1.0,0.0,159899.97,0
14792,14792,15794661,Liu,655,Spain,Male,32.0,2,0.0,2,1.0,0.0,140579.17,0
87310,87310,15773969,Hs?eh,577,Germany,Female,34.0,9,114628.4,1,1.0,0.0,141872.05,1
65412,65412,15644854,Clements,627,France,Male,33.0,2,0.0,2,0.0,0.0,142916.99,0
16729,16729,15795737,McNaughtan,651,Spain,Female,47.0,3,0.0,2,1.0,1.0,107874.39,0
160318,160318,15783029,Shih,619,Spain,Female,29.0,7,0.0,2,1.0,0.0,177065.24,0
110017,110017,15766172,Milanesi,775,France,Male,37.0,4,0.0,2,1.0,1.0,107675.05,0
49352,49352,15660646,Nkemjika,725,Spain,Male,25.0,9,0.0,2,1.0,1.0,164981.73,0
128757,128757,15696175,Echezonachukwu,602,France,Female,41.0,9,90602.42,2,1.0,1.0,51695.41,1
114845,114845,15791148,Iheatu,547,France,Male,42.0,3,0.0,2,1.0,1.0,152872.42,0
134106,134106,15773520,Lombardi,731,France,Male,62.0,4,0.0,1,1.0,0.0,94811.58,1
51573,51573,15659843,Nwokike,497,France,Male,36.0,6,0.0,2,1.0,1.0,161807.14,0
39024,39024,15589204,Kao,596,France,Male,31.0,3,0.0,1,1.0,0.0,183542.08,0
71200,71200,15642345,Hsia,639,France,Female,36.0,9,0.0,1,1.0,0.0,83090.35,0
154341,154341,15738166,K'ung,720,France,Male,55.0,7,123342.24,1,1.0,1.0,78915.68,1
71981,71981,15675585,Ch'en,604,Germany,Female,45.0,10,148843.56,1,1.0,1.0,53534.8,1
110022,110022,15762799,Hsia,665,Germany,Female,56.0,6,123815.86,1,1.0,0.0,65611.01,1
157050,157050,15691533,Milani,607,France,Male,31.0,7,0.0,1,1.0,0.0,100556.98,0
16557,16557,15654975,Ukaegbunam,681,Germany,Male,29.0,5,118907.6,1,0.0,1.0,116692.8,0
144778,144778,15726153,Chukwubuikem,850,Germany,Male,57.0,3,143443.61,1,1.0,0.0,94823.95,1
84097,84097,15682540,Pisano,659,France,Male,33.0,7,0.0,1,1.0,1.0,74965.67,0
13814,13814,15725776,Hsia,615,France,Male,31.0,5,127773.39,1,1.0,0.0,182270.24,0
146733,146733,15626233,Fomin,586,France,Female,60.0,10,0.0,1,1.0,1.0,106785.5,1
1727,1727,15679663,Chubb,749,Germany,Male,49.0,8,110349.47,1,1.0,1.0,157891.83,1
84717,84717,15721427,Hsu,807,France,Female,43.0,2,98438.16,1,1.0,0.0,172638.65,0
37233,37233,15706799,Macknight,719,France,Male,34.0,4,0.0,2,0.0,1.0,84927.42,0
32292,32292,15793311,Ting,580,Spain,Female,41.0,1,0.0,2,1.0,0.0,81753.92,0
119159,119159,15600813,Dickson,817,Spain,Male,44.0,2,104254.04,1,0.0,1.0,118036.52,0
154313,154313,15799785,Chukwudi,804,Spain,Female,39.0,5,0.0,2,1.0,1.0,82526.92,0
127079,127079,15678727,L?,710,France,Male,25.0,4,0.0,2,0.0,1.0,133659.01,0
65170,65170,15643826,McKay,503,France,Male,44.0,4,0.0,1,0.0,1.0,153036.97,1
93458,93458,15617982,Hs?,635,France,Female,36.0,6,0.0,1,0.0,0.0,167026.9,1
84684,84684,15574761,Nnamdi,662,France,Male,35.0,4,0.0,2,1.0,0.0,80190.36,0
9042,9042,15658158,Sullivan,672,Germany,Female,23.0,9,110741.56,1,1.0,0.0,156598.23,0
120872,120872,15681409,Tien,591,France,Female,48.0,7,0.0,2,1.0,1.0,77862.94,0
111813,111813,15807909,Yen,738,France,Female,31.0,4,92676.3,1,1.0,1.0,105817.63,0
58399,58399,15576945,Liao,738,France,Female,32.0,1,138843.8,1,1.0,1.0,74870.99,0
